datetime,actual_position,predicted_position,regime,close_price,daily_pnl,cumu_pnl
2025-01-26 01:00:00,Neutral,Neutral,2,104606.74396871,0.0,-0.17378606571394548
2025-01-26 02:00:00,Neutral,Neutral,2,104665.76586533,0.0,-0.17378606571394548
2025-01-26 03:00:00,Neutral,Neutral,2,105041.87638419,0.0,-0.17378606571394548
2025-01-26 04:00:00,Neutral,Neutral,2,105151.85539927,0.0,-0.17378606571394548
2025-01-26 05:00:00,Neutral,Neutral,2,105065.05708663,-0.0,-0.17378606571394548
2025-01-26 06:00:00,Neutral,Neutral,2,104972.02002633,-0.0,-0.17378606571394548
2025-01-26 07:00:00,Neutral,Neutral,2,104975.14137338,0.0,-0.17378606571394548
2025-01-26 08:00:00,Neutral,Neutral,0,105018.30716075,0.0,-0.17378606571394548
2025-01-26 09:00:00,Neutral,Neutral,0,104615.66966659,-0.0,-0.17378606571394548
2025-01-26 10:00:00,Neutral,Neutral,0,104702.00335236,0.0,-0.17378606571394548
2025-01-26 11:00:00,Neutral,Neutral,0,104808.13519956,0.0,-0.17378606571394548
2025-01-26 12:00:00,Neutral,Neutral,0,104882.8323,0.0,-0.17378606571394548
2025-01-26 13:00:00,Neutral,Neutral,0,104947.35281324,0.0,-0.17378606571394548
2025-01-26 14:00:00,Neutral,Neutral,0,104927.90399499,-0.0,-0.17378606571394548
2025-01-26 15:00:00,Neutral,Neutral,0,104958.81389355,0.0,-0.17378606571394548
2025-01-26 16:00:00,Neutral,Neutral,0,104931.21004477,-0.0,-0.17378606571394548
2025-01-26 17:00:00,Neutral,Neutral,0,104934.98993678,0.0,-0.17378606571394548
2025-01-26 18:00:00,Neutral,Neutral,0,105165.01497211,0.0,-0.17378606571394548
2025-01-26 19:00:00,Neutral,Neutral,0,105070.63616365,-0.0,-0.17378606571394548
2025-01-26 20:00:00,Neutral,Neutral,0,104937.98732769,-0.0,-0.17378606571394548
2025-01-26 21:00:00,Neutral,Neutral,0,104595.16977526,-0.0,-0.17378606571394548
2025-01-26 22:00:00,Neutral,Neutral,2,104321.90082039,-0.0,-0.17378606571394548
2025-01-26 23:00:00,Neutral,Neutral,1,102589.28508691,-0.0,-0.17378606571394548
2025-01-27 00:00:00,Neutral,Neutral,1,101685.61275688,-0.0,-0.17378606571394548
2025-01-27 01:00:00,Neutral,Neutral,1,101233.20093625,-0.0,-0.17378606571394548
2025-01-27 02:00:00,Neutral,Neutral,1,100930.28632736,-0.0,-0.17378606571394548
