start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1641866400000,2022-01-11 02:00:00,0.5193061,1.08032596,345197317.04075,0.4806939,319530706.02836
1641870000000,2022-01-11 03:00:00,0.50659479,1.02673176,141188889.034,0.49340521,137512926.62555
1641873600000,2022-01-11 04:00:00,0.52240414,1.09382051,201406131.28645,0.47759586,184130877.85304
1641877200000,2022-01-11 05:00:00,0.47756779,0.91412393,136928767.99091,0.52243221,149792345.71307
1641880800000,2022-01-11 06:00:00,0.43236863,0.76170672,105559452.61981,0.56763137,138582803.09367
1641884400000,2022-01-11 07:00:00,0.56778731,1.31367571,148780003.54753,0.43221269,113254741.6614
1641888000000,2022-01-11 08:00:00,0.47735737,0.91335329,432154204.35289,0.52264263,473151197.72467
1641891600000,2022-01-11 09:00:00,0.49179376,0.96770507,203623022.49144,0.50820624,210418471.49386
1641895200000,2022-01-11 10:00:00,0.40474701,0.67995795,202624173.94766,0.59525299,297995153.67831004
1641898800000,2022-01-11 11:00:00,0.55787757,1.26181692,252424988.92177,0.44212243,200048822.42624
1641902400000,2022-01-11 12:00:00,0.4891163,0.95739266,128750664.44393,0.5108837,134480522.05222
1641906000000,2022-01-11 13:00:00,0.47678632,0.91126503,168249548.36432,0.52321368,184632948.30583
1641909600000,2022-01-11 14:00:00,0.50250319,1.01006313,505228180.58159,0.49749681,500194657.79305
1641913200000,2022-01-11 15:00:00,0.52643411,1.11163858,662122147.31426,0.47356589,595627172.8747799
1641916800000,2022-01-11 16:00:00,0.53555238,1.15309532,1009877002.35239,0.46444762,875796635.56279
1641920400000,2022-01-11 17:00:00,0.4875885,0.95155651,718330851.24303,0.5124115,754900880.96554
1641924000000,2022-01-11 18:00:00,0.52496928,1.10512702,288866750.39242,0.47503072,261387826.87134
1641927600000,2022-01-11 19:00:00,0.51852597,1.0769552,258497067.70997,0.48147403,240025831.96128
1641931200000,2022-01-11 20:00:00,0.47078108,0.88957717,194883489.88457,0.52921892,219074292.58612
1641934800000,2022-01-11 21:00:00,0.49099169,0.96460448,102541875.97661,0.50900831,106304582.35684
1641938400000,2022-01-11 22:00:00,0.53262916,1.13962856,100523099.3002,0.46737084,88206897.28922
1641942000000,2022-01-11 23:00:00,0.49965794,0.99863268,140895551.27171,0.50034206,141088464.79672
1641945600000,2022-01-12 00:00:00,0.49689596,0.98766045,197501984.48135,0.50310404,199969518.8169
1641949200000,2022-01-12 01:00:00,0.44841763,0.81296586,101044140.19569,0.55158237,124290755.26699
1641952800000,2022-01-12 02:00:00,0.45029603,0.81916096,118829733.34262,0.54970397,145062740.75345
